case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count
packing,Packing,packing,CostOnly,20,20,20,0.954727985836742,0.0007706793283531743,2
packing,Packing,packing,OursExact,20,0,20,0.0,0.0,2
packing,Packing,packing,OursExact,20,1,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,2,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,3,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,4,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,8,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,12,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,16,20,1.0,0.0,2
packing,Packing,packing,OursExact,20,20,20,1.0,0.0,2
packing,Packing,packing,PCA,20,0,20,0.0,0.0,2
packing,Packing,packing,PCA,20,1,20,0.9735609941883192,0.0006449340611194286,2
packing,Packing,packing,PCA,20,2,20,0.9780465740409989,0.0007152497954621694,2
packing,Packing,packing,PCA,20,3,20,0.9800584037752176,1.3928563217580068e-05,2
packing,Packing,packing,PCA,20,4,20,0.9818279212848404,0.0010310520311636038,2
packing,Packing,packing,PCA,20,8,20,0.9843981141198732,0.0005249601111280144,2
packing,Packing,packing,PCA,20,12,20,0.986278492791869,0.0011316163765749951,2
packing,Packing,packing,PCA,20,16,20,0.9880380074474076,0.0009146698707706568,2
packing,Packing,packing,PCA,20,20,20,0.9898473396144667,0.0008813254802129133,2
packing,Packing,packing,SGA,20,0,20,0.0,0.0,2
packing,Packing,packing,SGA,20,1,20,0.9735609941883192,0.0006449340611194286,2
packing,Packing,packing,SGA,20,2,20,0.9744548908867523,0.0006673824391011939,2
packing,Packing,packing,SGA,20,3,20,0.9752941581358301,0.00021214980353911894,2
packing,Packing,packing,SGA,20,4,20,0.9758009217202552,0.0001468245676350954,2
packing,Packing,packing,SGA,20,8,20,0.97564599776643,0.000581768924539483,2
packing,Packing,packing,SGA,20,12,20,0.9758469422804625,0.0004236945604630393,2
packing,Packing,packing,SGA,20,16,20,0.9758644133148424,0.0004911216575281818,2
packing,Packing,packing,SGA,20,20,20,0.9760766278050843,0.00048408755121132074,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,0,20,0.14202847454259326,0.015203915452298445,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,1,20,0.6027705060189856,0.013748849302687048,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,2,20,0.6573444677124614,0.007078134280015635,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,3,20,0.7124090270646181,0.016573014419764887,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,4,20,0.7017698460207813,0.017691607868439093,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,8,20,0.7758436259506486,0.00826093503723313,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,12,20,0.8054803230993344,0.021417506380140727,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,16,20,0.7980423077890608,0.025149071621242244,2
random_lp_A,RandomLP A,random_lp,CostOnly,20,20,20,0.7045742462582674,0.02680307440544893,2
random_lp_A,RandomLP A,random_lp,OursExact,20,0,20,0.14202847454259326,0.015203915452298445,2
random_lp_A,RandomLP A,random_lp,OursExact,20,1,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,2,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,3,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,4,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,8,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,12,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,16,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,OursExact,20,20,20,1.0,1.570092458683775e-16,2
random_lp_A,RandomLP A,random_lp,PCA,20,0,20,0.14202847454259326,0.015203915452298445,2
random_lp_A,RandomLP A,random_lp,PCA,20,1,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,2,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,3,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,4,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,8,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,12,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,16,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,PCA,20,20,20,0.14202847454259343,0.015203915452298251,2
random_lp_A,RandomLP A,random_lp,SGA,20,0,20,0.14202847454259326,0.015203915452298445,2
random_lp_A,RandomLP A,random_lp,SGA,20,1,20,0.355846013846123,0.010575112263513792,2
random_lp_A,RandomLP A,random_lp,SGA,20,2,20,0.36670396436178104,0.01455293836632543,2
random_lp_A,RandomLP A,random_lp,SGA,20,3,20,0.4111940703658389,0.013312637519192455,2
random_lp_A,RandomLP A,random_lp,SGA,20,4,20,0.39059716833152064,0.019131013929735263,2
random_lp_A,RandomLP A,random_lp,SGA,20,8,20,0.4423622329655711,0.04341823683109141,2
random_lp_A,RandomLP A,random_lp,SGA,20,12,20,0.447516799501066,0.026598326802006907,2
random_lp_A,RandomLP A,random_lp,SGA,20,16,20,0.4452185517956945,0.015911123801506555,2
random_lp_A,RandomLP A,random_lp,SGA,20,20,20,0.43668172627934915,0.003844652629725942,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,0,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,1,20,0.43489704600036916,0.05190225356823236,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,2,20,0.5427684026935107,0.06921209613723982,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,3,20,0.6063018210247295,0.06052852435024541,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,4,20,0.6490278027448293,0.0928530598057674,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,8,20,0.7076528957954498,0.06596379009652098,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,12,20,0.7353378443749792,0.06419017358483635,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,16,20,0.740796632871479,0.06229754972913681,2
random_lp_B,RandomLP B,random_lp,CostOnly,20,20,20,0.6070757856603686,0.05525394588186199,2
random_lp_B,RandomLP B,random_lp,OursExact,20,0,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,OursExact,20,1,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,2,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,3,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,4,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,8,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,12,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,16,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,OursExact,20,20,20,0.9999999999999998,2.220446049250313e-16,2
random_lp_B,RandomLP B,random_lp,PCA,20,0,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,1,20,-0.006479769068399099,0.029051481396595497,2
random_lp_B,RandomLP B,random_lp,PCA,20,2,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,3,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,4,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,8,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,12,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,16,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,PCA,20,20,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,SGA,20,0,20,-0.007554424484727498,0.0301261368129239,2
random_lp_B,RandomLP B,random_lp,SGA,20,1,20,0.1782575172453523,0.04877957743635299,2
random_lp_B,RandomLP B,random_lp,SGA,20,2,20,0.2294113674184891,0.0494274043684328,2
random_lp_B,RandomLP B,random_lp,SGA,20,3,20,0.2276964505431064,0.030072357427218584,2
random_lp_B,RandomLP B,random_lp,SGA,20,4,20,0.22868327675162897,0.03367572101988055,2
random_lp_B,RandomLP B,random_lp,SGA,20,8,20,0.2555721221174067,0.020610834451756998,2
random_lp_B,RandomLP B,random_lp,SGA,20,12,20,0.2597367835725276,0.005354106312239593,2
random_lp_B,RandomLP B,random_lp,SGA,20,16,20,0.27691277603096154,0.03010828697600204,2
random_lp_B,RandomLP B,random_lp,SGA,20,20,20,0.27853018485195136,0.010199560761537744,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,0,20,0.1332114650842356,0.06939027672679861,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,1,20,0.4839980322446277,0.04716803594679786,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,2,20,0.565656515118744,0.03952455300282642,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,3,20,0.6083925240243995,0.012911888024919825,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,4,20,0.6388539950557229,0.01585181511125566,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,8,20,0.7110803236617733,0.006317910721283292,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,12,20,0.7392365431171501,0.016244556570447266,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,16,20,0.7166784768847649,0.03665425763070507,2
random_lp_C,RandomLP C,random_lp,CostOnly,20,20,20,0.6210264888293109,0.016041431546995777,2
random_lp_C,RandomLP C,random_lp,OursExact,20,0,20,0.1332114650842356,0.06939027672679861,2
random_lp_C,RandomLP C,random_lp,OursExact,20,1,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,2,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,3,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,4,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,8,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,12,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,16,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,OursExact,20,20,20,0.9999999999999993,6.131407058289217e-16,2
random_lp_C,RandomLP C,random_lp,PCA,20,0,20,0.1332114650842356,0.06939027672679861,2
random_lp_C,RandomLP C,random_lp,PCA,20,1,20,0.1338377527696437,0.06914468356073979,2
random_lp_C,RandomLP C,random_lp,PCA,20,2,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,3,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,4,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,8,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,12,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,16,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,PCA,20,20,20,0.13321146508423595,0.06939027672679896,2
random_lp_C,RandomLP C,random_lp,SGA,20,0,20,0.1332114650842356,0.06939027672679861,2
random_lp_C,RandomLP C,random_lp,SGA,20,1,20,0.2500944039053375,0.1744327757403541,2
random_lp_C,RandomLP C,random_lp,SGA,20,2,20,0.32475886984010516,0.10729654947944205,2
random_lp_C,RandomLP C,random_lp,SGA,20,3,20,0.3287911507171041,0.07590508978984281,2
random_lp_C,RandomLP C,random_lp,SGA,20,4,20,0.3422641698423464,0.06853844983375543,2
random_lp_C,RandomLP C,random_lp,SGA,20,8,20,0.37876216760023784,0.08778113457093724,2
random_lp_C,RandomLP C,random_lp,SGA,20,12,20,0.41069165177196276,0.07169188977842281,2
random_lp_C,RandomLP C,random_lp,SGA,20,16,20,0.42128400380483233,0.06754824941381857,2
random_lp_C,RandomLP C,random_lp,SGA,20,20,20,0.4257830982193726,0.0766372621585813,2
