case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count,source_method
random_lp_D,RandomLP D,random_lp,data-driven proj,20,12,20,0.2029785847371689,0.1092307031325946,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,16,20,0.2054581545575193,0.1039583350269252,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,20,20,0.2192756299602577,0.0951083063375417,2,SGA
sc205,SC205,netlib,CostOnly,20,0,20,0.0,0.0,2,CostOnly
sc205,SC205,netlib,CostOnly,20,1,20,1.3873922744031415e-08,5.86336049361868e-12,2,CostOnly
sc205,SC205,netlib,CostOnly,20,2,20,1.4123834493909366e-08,1.4962976235837443e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,20,3,20,1.4276341446311556e-08,1.2261627104381618e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,20,4,20,1.4434488546265054e-08,1.7810377645310611e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,20,8,20,1.4836792052447966e-08,7.867625156942177e-11,2,CostOnly
sc205,SC205,netlib,CostOnly,20,12,20,1.578701389609851e-08,2.2704991927049446e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,20,16,20,1.6750727273383673e-08,9.355539875602914e-11,2,CostOnly
sc205,SC205,netlib,CostOnly,20,20,20,2.1373414112908567e-08,4.7973764650831656e-11,2,CostOnly
sc205,SC205,netlib,OursExact,20,0,20,0.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,1,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,2,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,3,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,4,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,8,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,12,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,16,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,20,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,data-driven proj,20,0,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,1,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,2,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,3,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,4,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,8,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,12,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,16,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,20,20,0.5000000000000393,0.5000000000000393,2,PCA
scagr25,SCAGR25,netlib,CostOnly,20,0,20,0.3879376036518994,7.295673554175151e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,1,20,0.3879376624345305,7.295679479990548e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,2,20,0.3879376686416461,7.300892260198033e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,3,20,0.387937672527639,7.628714049356945e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,4,20,0.3879376822883982,7.793195999639124e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,8,20,0.3879376945627302,7.150422196011696e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,12,20,0.387937705729929,7.69454015225879e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,16,20,0.3879377194045036,8.037279058958903e-08,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,20,20,0.3879377385709265,7.123595041624851e-08,2,CostOnly
scagr25,SCAGR25,netlib,OursExact,20,0,20,0.3879376036518994,7.295673554175151e-08,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,1,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,2,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,3,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,4,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,8,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,12,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,16,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,20,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,data-driven proj,20,0,20,0.3879376036518994,7.295673554175151e-08,2,SGA
