method,K,instance,objective,full_objective,objective_ratio,time,success,case,title,family,intrinsic_K,message
PCA,40,packing_test_00003,229.48807442331545,232.05269552777483,0.9889481089688422,0.0116558000445365,1.0,packing,Packing,packing,,
PCA,40,packing_test_00004,228.7053404532915,230.3178565095968,0.9929987362649926,0.0247430999297648,1.0,packing,Packing,packing,,
PCA,40,packing_test_00005,228.50788626075231,231.347256450289,0.9877268041423832,0.0116502000018954,1.0,packing,Packing,packing,,
PCA,40,packing_test_00006,228.9440789158897,231.39856840294945,0.9893928060834604,0.0123879000311717,1.0,packing,Packing,packing,,
PCA,40,packing_test_00007,228.06727671304847,229.4264603199824,0.9940757330037772,0.011571199982427,1.0,packing,Packing,packing,,
PCA,40,packing_test_00008,229.1398612464509,230.84790939045772,0.9926009806694076,0.0122305999975651,1.0,packing,Packing,packing,,
PCA,40,packing_test_00009,229.0407741171269,230.22174634721085,0.9948702837641458,0.0108364000916481,1.0,packing,Packing,packing,,
PCA,40,packing_test_00010,228.39113831464647,230.09828997400095,0.9925807720711554,0.0122541999444365,1.0,packing,Packing,packing,,
PCA,40,packing_test_00011,228.58043231339883,230.9602508662536,0.9896959821271026,0.0121018999489024,1.0,packing,Packing,packing,,
SGA,40,packing_test_00000,226.91466202519945,233.265568273414,0.97277392332172,0.0115744000067934,1.0,packing,Packing,packing,,
SGA,40,packing_test_00001,225.3481680895515,229.78207164671875,0.9807038750874169,0.0118337000021711,1.0,packing,Packing,packing,,
SGA,40,packing_test_00002,225.7098960471185,231.24999524898823,0.9760428137699864,0.0138672000030055,1.0,packing,Packing,packing,,
SGA,40,packing_test_00003,225.9336628785759,232.05269552777483,0.9736308486515016,0.014029899961315,1.0,packing,Packing,packing,,
SGA,40,packing_test_00004,226.22631560751245,230.3178565095968,0.9822352423555408,0.0191748000215739,1.0,packing,Packing,packing,,
SGA,40,packing_test_00005,225.48761684843515,231.347256450289,0.9746716702339068,0.0139554999768733,1.0,packing,Packing,packing,,
SGA,40,packing_test_00006,225.15340959395195,231.39856840294945,0.9730112469921492,0.0122862999560311,1.0,packing,Packing,packing,,
SGA,40,packing_test_00007,225.68350691303817,229.4264603199824,0.983685607136492,0.0116041000001132,1.0,packing,Packing,packing,,
SGA,40,packing_test_00008,225.86242895828917,230.84790939045772,0.9784036145472034,0.0113025000318884,1.0,packing,Packing,packing,,
SGA,40,packing_test_00009,225.42757901024729,230.22174634721085,0.9791758710329076,0.0129068000242114,1.0,packing,Packing,packing,,
SGA,40,packing_test_00010,225.73792441156803,230.09828997400095,0.9810499871036606,0.0119766999268904,1.0,packing,Packing,packing,,
SGA,40,packing_test_00011,225.2953922996535,230.9602508662536,0.9754725822068816,0.0111970999278128,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00000,222.6693137539397,233.265568273414,0.954574288018992,0.013583300053142,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00001,219.0891315706644,229.78207164671875,0.9534648634707482,0.0165727999992668,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00002,221.01773994463505,231.24999524898823,0.9557524085856258,0.0218000998720526,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00003,223.53044798217047,232.05269552777483,0.9632745160480832,0.0203676000237464,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00004,221.36424666438583,230.3178565095968,0.9611249862216484,0.0185318998992443,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00005,220.50823493190208,231.347256450289,0.953148259959089,0.0144878000719472,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00006,220.6859358931478,231.39856840294945,0.953704845350871,0.0128853000933304,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00007,219.0578062161249,229.4264603199824,0.9548061976399922,0.0160649999743327,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00008,220.4085234339985,230.84790939045772,0.9547780788484336,0.0140469000907614,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00009,221.15484385014585,230.22174634721085,0.9606166548515764,0.0172615000046789,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00010,220.2614471899636,230.09828997400095,0.9572493877066672,0.0168346000136807,1.0,packing,Packing,packing,,
CostOnly,40,packing_test_00011,221.70537468742447,230.9602508662536,0.9599287057226636,0.014665599912405,1.0,packing,Packing,packing,,
Rand,50,packing_test_00000,36.00993897988343,233.265568273414,0.1543731432222163,0.0045631000539287,1.0,packing,Packing,packing,,
Rand,50,packing_test_00001,36.63406210061281,229.78207164671875,0.1594295927357478,0.003559699980542,1.0,packing,Packing,packing,,
Rand,50,packing_test_00002,36.96342346627316,231.24999524898823,0.1598418344894425,0.0034622999373823,1.0,packing,Packing,packing,,
Rand,50,packing_test_00003,35.99600003811767,232.05269552777483,0.1551199392717644,0.0041931000305339,1.0,packing,Packing,packing,,
Rand,50,packing_test_00004,36.44768741110083,230.3178565095968,0.1582495077170976,0.005549699999392,1.0,packing,Packing,packing,,
Rand,50,packing_test_00005,35.70472346292136,231.347256450289,0.1543338961989957,0.0033103000605478,1.0,packing,Packing,packing,,
Rand,50,packing_test_00006,36.45615888277406,231.39856840294945,0.1575470372802418,0.0046160999918356,1.0,packing,Packing,packing,,
Rand,50,packing_test_00007,36.197826500913614,229.4264603199824,0.1577752908292631,0.0059190000174567,1.0,packing,Packing,packing,,
Rand,50,packing_test_00008,35.626900391974644,230.84790939045772,0.1543306174443844,0.0045355999609455,1.0,packing,Packing,packing,,
Rand,50,packing_test_00009,35.87514523503151,230.22174634721085,0.1558286556515217,0.0034122000215575,1.0,packing,Packing,packing,,
Rand,50,packing_test_00010,35.86604895214863,230.09828997400095,0.1558727314149147,0.0065675999503582,1.0,packing,Packing,packing,,
